video_id,views,likes,dislikes,comment_count,thumbnail_link
LMCuKltaY3M,154494,2163,147,211,https://i.ytimg.com/vi/LMCuKltaY3M/default.jpg
6Detw08jRhs,53321,443,131,106,https://i.ytimg.com/vi/6Detw08jRhs/default.jpg
vd4zwINEcLY,95085,909,52,193,https://i.ytimg.com/vi/vd4zwINEcLY/default.jpg
7fm7mll2qvg,91776,4604,46,357,https://i.ytimg.com/vi/7fm7mll2qvg/default.jpg
5gFpcEKayz4,764716,35765,483,1159,https://i.ytimg.com/vi/5gFpcEKayz4/default.jpg
eHIY3HNNqzM,135337,7158,89,318,https://i.ytimg.com/vi/eHIY3HNNqzM/default.jpg
q-WipZ9p0wk,77630,1991,83,208,https://i.ytimg.com/vi/q-WipZ9p0wk/default.jpg
zy0b9e40tK8,378750,5642,146,675,https://i.ytimg.com/vi/zy0b9e40tK8/default.jpg
rL4WkebTT_U,151709,9210,71,1103,https://i.ytimg.com/vi/rL4WkebTT_U/default.jpg
Y6eKxjMA9ek,175852,15909,200,852,https://i.ytimg.com/vi/Y6eKxjMA9ek/default.jpg
Q6Usd3_fbq8,5149,242,0,54,https://i.ytimg.com/vi/Q6Usd3_fbq8/default.jpg
44NYFvhXmW8,1905487,65854,2442,4490,https://i.ytimg.com/vi/44NYFvhXmW8/default.jpg
9wg3v-01yKQ,9632678,810895,16139,59473,https://i.ytimg.com/vi/9wg3v-01yKQ/default.jpg
F-j_6IuaYfw,476389,16106,950,2077,https://i.ytimg.com/vi/F-j_6IuaYfw/default.jpg
_qSW96a2aKY,754558,11985,1356,1757,https://i.ytimg.com/vi/_qSW96a2aKY/default.jpg
afgvlR9WmIQ,762616,20159,336,899,https://i.ytimg.com/vi/afgvlR9WmIQ/default.jpg
_CJN_ryETIY,199429,10175,66,539,https://i.ytimg.com/vi/_CJN_ryETIY/default.jpg
P4YJwy_T9pM,691229,31892,197,1404,https://i.ytimg.com/vi/P4YJwy_T9pM/default.jpg
YqH4eWR7jDQ,6412,49,0,2,https://i.ytimg.com/vi/YqH4eWR7jDQ/default.jpg
r96KpNTcog4,108618,4989,58,274,https://i.ytimg.com/vi/r96KpNTcog4/default.jpg
B4gXsobd_ao,79306,3809,127,670,https://i.ytimg.com/vi/B4gXsobd_ao/default.jpg
x8eLIJAM58M,812007,5894,951,851,https://i.ytimg.com/vi/x8eLIJAM58M/default.jpg
6V_aZsATDsM,55398,1170,22,336,https://i.ytimg.com/vi/6V_aZsATDsM/default.jpg
qg0GdM60syI,773,2,0,0,https://i.ytimg.com/vi/qg0GdM60syI/default.jpg
8j_BYfVEyhA,581288,5075,725,1780,https://i.ytimg.com/vi/8j_BYfVEyhA/default.jpg
9ymjcSvEyhk,99619,3959,158,335,https://i.ytimg.com/vi/9ymjcSvEyhk/default.jpg
oB3SAI2oCqk,4850,22,1,1,https://i.ytimg.com/vi/oB3SAI2oCqk/default.jpg
HNa_UWX51_s,226088,10844,302,555,https://i.ytimg.com/vi/HNa_UWX51_s/default.jpg
08nkwgZIE4I,651036,23338,442,1101,https://i.ytimg.com/vi/08nkwgZIE4I/default.jpg
5Smb3tZD1Qc,451356,3454,284,623,https://i.ytimg.com/vi/5Smb3tZD1Qc/default.jpg
YHDbsyyjld0,46571,4250,16,408,https://i.ytimg.com/vi/YHDbsyyjld0/default.jpg
uyl6WtHEYOQ,28539,681,25,45,https://i.ytimg.com/vi/uyl6WtHEYOQ/default.jpg
bhoFXkVy8JA,12609,40,79,17,https://i.ytimg.com/vi/bhoFXkVy8JA/default.jpg
_w58R1OGQFA,30021,569,42,44,https://i.ytimg.com/vi/_w58R1OGQFA/default.jpg
BEweWXa5Twk,471266,23634,460,1714,https://i.ytimg.com/vi/BEweWXa5Twk/default.jpg
egXr0PU-kCY,1073134,47793,1886,5358,https://i.ytimg.com/vi/egXr0PU-kCY/default.jpg
fIQ2Ty2OL34,18573,420,10,236,https://i.ytimg.com/vi/fIQ2Ty2OL34/default.jpg
d_j512i2k6c,250193,5748,332,1197,https://i.ytimg.com/vi/d_j512i2k6c/default.jpg
4d07RXYLsJE,1827,3,0,2,https://i.ytimg.com/vi/4d07RXYLsJE/default.jpg
DOIw62TXYkg,2457408,2707,200,209,https://i.ytimg.com/vi/DOIw62TXYkg/default.jpg
0lbJHqAGpbA,51143,258,5,10,https://i.ytimg.com/vi/0lbJHqAGpbA/default.jpg
JuP1Z8xpRb8,27010,1666,36,150,https://i.ytimg.com/vi/JuP1Z8xpRb8/default.jpg
CR9zYgr84QY,122669,5723,55,263,https://i.ytimg.com/vi/CR9zYgr84QY/default.jpg
1640fZpYBSY,358597,1211,72,593,https://i.ytimg.com/vi/1640fZpYBSY/default.jpg
M2-IpsWQUWs,56012,6243,106,414,https://i.ytimg.com/vi/M2-IpsWQUWs/default.jpg
7m630xvAJtA,6148,121,3,19,https://i.ytimg.com/vi/7m630xvAJtA/default.jpg
510KQ_LXGww,1390440,86207,1775,710,https://i.ytimg.com/vi/510KQ_LXGww/default.jpg
CO9dIyNM_9Q,244532,633,174,765,https://i.ytimg.com/vi/CO9dIyNM_9Q/default.jpg
hX643KbiI4s,82087,998,93,289,https://i.ytimg.com/vi/hX643KbiI4s/default.jpg
mwpHSMv1pI4,359120,15130,223,1143,https://i.ytimg.com/vi/mwpHSMv1pI4/default.jpg
Mfiim71QdYQ,33768,426,88,550,https://i.ytimg.com/vi/Mfiim71QdYQ/default.jpg
UFPSIa1cLRQ,38068,2195,28,154,https://i.ytimg.com/vi/UFPSIa1cLRQ/default.jpg
o78x918zbFk,1277364,56867,2148,25326,https://i.ytimg.com/vi/o78x918zbFk/default.jpg
iNf6VErGDLI,1498866,67227,1473,4645,https://i.ytimg.com/vi/iNf6VErGDLI/default.jpg
6ixU_vdE0Es,280065,20289,38,939,https://i.ytimg.com/vi/6ixU_vdE0Es/default.jpg
wRGldR_SQAA,2259,0,0,0,https://i.ytimg.com/vi/wRGldR_SQAA/default.jpg
agKDPntMv-E,470191,4037,430,1553,https://i.ytimg.com/vi/agKDPntMv-E/default.jpg
Xl38SuxyrgM,16305,147,13,47,https://i.ytimg.com/vi/Xl38SuxyrgM/default.jpg
u7pV4vxD1bs,169511,57,59,79,https://i.ytimg.com/vi/u7pV4vxD1bs/default.jpg
zYWt2mnalP8,160477,8388,691,950,https://i.ytimg.com/vi/zYWt2mnalP8/default.jpg
PoNWU2cox9w,704363,16352,224,841,https://i.ytimg.com/vi/PoNWU2cox9w/default.jpg
6hTzM1BPdU8,130778,5684,53,737,https://i.ytimg.com/vi/6hTzM1BPdU8/default.jpg
MCW5HUkrr-o,560569,29990,341,1788,https://i.ytimg.com/vi/MCW5HUkrr-o/default.jpg
YvfYK0EEhK4,462490,14132,795,666,https://i.ytimg.com/vi/YvfYK0EEhK4/default.jpg
cxMvzK2OQTw,295217,4854,1439,1267,https://i.ytimg.com/vi/cxMvzK2OQTw/default.jpg
bAkEd8r7Nnw,1525400,63995,896,4697,https://i.ytimg.com/vi/bAkEd8r7Nnw/default.jpg
ItYOdWRo0JY,1836419,28647,17815,7860,https://i.ytimg.com/vi/ItYOdWRo0JY/default.jpg
5530I_pYjbo,977285,87615,391,5575,https://i.ytimg.com/vi/5530I_pYjbo/default.jpg
dUMH6DVYskc,390964,3687,1273,1224,https://i.ytimg.com/vi/dUMH6DVYskc/default.jpg
gjXrm2Q-te4,1611093,58474,837,3294,https://i.ytimg.com/vi/gjXrm2Q-te4/default.jpg
9SK1I0V6U5c,983365,60983,578,3837,https://i.ytimg.com/vi/9SK1I0V6U5c/default.jpg
VsYmwBOYfW8,2765121,35529,1705,2388,https://i.ytimg.com/vi/VsYmwBOYfW8/default.jpg
kgaO45SyaO4,3701763,56561,2495,11608,https://i.ytimg.com/vi/kgaO45SyaO4/default.jpg
