7430031,308775,4862,12187
2291077,102726,12794,11941
811581,13238,2261,1138
3680540,216119,3570,20544
913473,31800,628,1475
592233,6098,206,2183
8964234,154938,13472,6721
2624056,75930,1949,3555
255394,10422,272,641
179186,11836,353,939
505794,55628,192,3033
1674547,54340,1579,6041
2076459,91109,1279,6184
3849023,320670,2683,12314
202306,9658,111,631
5795,326,27,84
1540,89,12,40
120702,5309,89,317
102688,692,82,717
123831,1577,46,215
1556912,38754,6798,9942
490300,20319,282,967
79779,2002,215,347
132334,5475,51,391
433640,4981,180,196
5085,49,10,16
2415259,73950,2879,4781
159840,9483,76,986
106204,4780,24,717
176018,8414,103,338
1482135,88928,2473,993
363053,23284,737,1517
190904,4090,303,339
659316,5565,205,454
327851,17434,158,952
233985,1933,99,444
237639,14978,416,1128
284457,11416,216,1608
871379,37753,231,1609
117463,6190,241,354
47821,44,12,95
11030397,842100,17379,60411
313763,15961,401,988
392701,497,111,132
2865126,9160,985,1421
83028,2077,83,209
3271708,95525,2855,7412
849499,27121,2042,5181
60262,895,229,991
200766,9903,131,1138
131394,5961,57,266
37200,381,56,36
174216,301,10,64
1106326,38179,603,6707
108017,5168,104,270
579851,422,59,46
409981,1861,132,275
838340,17857,263,887
745369,0,0,0
154379,5795,42,550
244025,6548,374,315
268399,11465,329,504
28904,1096,33,97
901791,36621,2173,14066
66186,390,15,27
34096,54,1,37
373514,15591,226,1148
106565,4589,67,612
819182,20108,434,2869
191032,874,66,437
160933,1173,1172,0
17216381,265664,34324,35798
7643629,340579,10178,17541
1153896,48509,3493,7048
101336,1251,105,346
206613,6547,143,616
7217483,330547,5127,23953
683667,6573,724,2516
293164,3732,325,1640
281131,8649,230,508
4653411,358855,1987,34138
135010,9415,87,677
65998,3818,79,514
11187,838,16,196
2084938,139836,2263,11991
237123,2801,373,516
54876,189,190,83
83615,5825,30,929
231449,2943,210,596
99323,2325,407,82
1170959,5017,402,3175
364565,14904,197,1673
675865,22694,304,2103
12796,463,7,97
32296256,297313,11736,0
730235,4024,72,240
2230,45,0,9
143139,1110,68,62
1638016,68995,1584,4657
428154,14546,535,3622
1215722,12234,346,4347
184558,2711,122,656
